Количество параллельных запросов,Общее время (с),Среднее время на запрос (с),Токены в секунду,Сумма токенов
1,5.010100603103638,5.010100603103638,46.30645537462492,232
2,5.079186201095581,2.5395931005477905,77.7683637419708,395
4,7.595842123031616,1.898960530757904,105.8473816302953,804
8,18.021453380584717,2.2526816725730896,97.43942194428192,1756
16,30.362422227859497,1.8976513892412186,115.93277945954428,3520
24,48.5768027305603,2.0240334471066794,107.08815129010856,5202
32,66.64901828765869,2.082781821489334,109.10888392404944,7272
40,67.85850596427917,1.6964626491069794,129.28371875175267,8773
48,81.52028059959412,1.6983391791582108,129.69778713019593,10573
72,144.43022751808167,2.0059753821955786,110.82860059883264,16007
